id,ordemdecompra,categoria,descricao,parcelamento,numcard,datacompra,previsao,qtd,fornecedor,recebido,medida
1001,4210257401,Porta de Aluminio,PORTA VIDRO INCOLOR - 704X367,0,,2024-09-13,2024-09-28,1,VALTER,2024-10-02,
1002,4210257402,Porta de Aluminio,PORTA DESLLIZANTE ESPELHO PRATA - 951X810,0,,2024-09-13,2024-09-28,1,VALTER,2024-10-01,
1003,4210256701,Porta de Aluminio,PORTA GIRO CRIST. PX098 ALUM BRONZE REFL BRONZE - 2239X715,0,,,,2,VALTER,2024-10-01,
1004,4210256701,Vidro / Espelho,ESPELHO BRONZE - 1542x1004,0,,,,2,VALTER,2024-10-01,
1005,4200551501,Acessorios Avulsos,PUXADOR PONTO SINNAI IL808 COBRE VELHO,0,,2024-09-03,2024-09-04,10,LEO MADEIRAS,2024-09-04,
1006,4200551501,Acessorios Avulsos,PUXADOR CONCHA COLONIAL COBRE VELHO,0,,,,12,escritorio,2024-09-03,
1007,4200548102,Porta de Aluminio,PORTA DESLIZ. ESPELHO PRATA PERFIL FINO E PUX.098  2450 X 783,0,,2024-09-23,2024-10-08,1,VALTER,2024-10-18,
1008,4200548104,Porta de Aluminio,PORTA DESLIZ. RO30 ESPELHO PRATA PERFIL FINO PX.098  900 X 634,0,,2024-09-23,2024-10-08,1,VALTER,2024-10-18,
1009,4210212901,Porta de Aluminio,PORTA PERFIL ALUMINIO VIDRO REFLECTA PRATA - 526x409,0,,,,2,VALTER,2024-09-16,
1010,4210212901,Porta de Aluminio,PORTA PERFIL ALUMINIO VIDRO REFLECTA PRATA - 796x409,0,,,,2,VALTER,2024-09-16,
1011,4200551001,Acessorios Avulsos,PUXADOR PONTO COLONIAL 118-031 PRATA FOSCO ITALYLINE,0,,2024-09-20,2024-09-21,3,LEO MADEIRAS,2024-09-21,
1012,4200550301,Acessorios Avulsos,PUXADOR ABA 100MM PRATA,0,,,,15,ESTOQUE,2024-09-23,
1013,4200528101,Acessorios Avulsos,KIT DOBRADIÇA P/ SAPATEIRA BASCULANTE - BRANCO - R2610 BIGFER - PAR,0,,,,1,ESTOQUE,2024-08-19,
