ordemdecompra,avulso,paineis,portaaluminio,vidros,pecaspintadas,tapecaria,serralheria,cabide,trilho,volmod,avulsol,paineisl,portaaluminiol,vidrosl,pecaspintadasl,tapecarial,serralherial,cabidel,trilhol,modulosl,avulsoq,paineisq,portaaluminioq,vidrosq,pecaspintadasq,tapecariaq,serralheriaq,cabideq,trilhoq,modulosq,totalvolumes
4200529904,true,true,true,true,false,false,false,true,false,true,BOX 26,BOX 05,"BOX 4,5,9,16",BOX 03,,,,BOX 05,,BOX 05,5,,14,1,0,0,0,6,0,126,152
4200529905,true,true,false,false,false,false,false,false,false,true,BOX 18,PAREDE,,,,,,,,PAREDE,2,0,0,0,0,0,0,0,0,62,64
4200529906,true,true,false,false,false,false,false,false,false,true,BOX 26,PAREDE,,,,,,,,PAREDE,3,1,0,0,0,0,0,0,0,60,64
4200529907,true,false,false,false,false,false,false,false,false,true,BOX3,,,,,,,,,ILHA,1,0,0,0,0,0,0,0,0,1,2
4200529908,true,false,false,false,false,false,false,false,false,true,BOX 3,,,,,,,,,ILHA,1,0,0,0,0,0,0,0,0,1,2
4200529909,true,false,false,false,false,false,false,false,false,true,BOX 3,,,,,,,,,ILHA,1,0,0,0,0,0,0,0,0,3,4
4200529910,true,false,false,false,false,false,false,false,false,true,BOX 3,,,,,,,,,ILHA,1,0,0,0,0,0,0,0,0,3,4
4200529911,true,true,false,false,false,false,false,false,false,true,BOX 08,BOX 09,,,,,,,,BOX 9,1,1,0,0,0,0,0,0,0,11,13
4200530001,true,true,true,true,false,false,false,false,false,true,BOX 27 E 28,MEIO,BOX 16,BOX 03,,,,,,MEIO,5,,4,8,0,0,0,0,0,8,25
4200530002,true,false,false,false,false,false,true,false,false,true,BOX 10,,,,,,BOX 08,,,MEIO,1,0,0,0,0,0,1,0,0,26,28
4200530003,true,true,false,false,false,false,false,false,false,true,BOX 03,PAREDE,,,,,,,,PAREDE,1,,0,0,0,0,0,0,0,26,27
4200530004,true,false,false,false,false,false,false,false,false,true,BOX 02,,,,,,,,,ILHA,1,0,0,0,0,0,0,0,0,9,10
4200530005,true,true,true,true,false,false,false,true,false,true,BOX 26,BOX 06,BOX 07,BOX 03,,,,BOX 06,,BOX 06,4,5,14,1,0,0,0,1,0,127,151
4200530006,true,true,false,false,true,false,false,true,false,true,BOX 26,BOX 11,,,,,,BOX 11,,48,2,3,0,0,0,0,0,1,0,0,54
4200530007,true,true,false,false,true,false,false,true,false,true,BOX 33,MEIO,,,,,,MEIO,,MEIO,2,,0,0,0,0,0,2,0,46,50
